"item","mean","sd","skewness","kurtosis","mean_minus_sd","mean_plus_sd","floor_pct","ceiling_pct","n_valid"
"Q01",2.69124423963134,0.884334705258801,-0.298406192873271,-0.604862434609138,1.80690953437253,3.57557894489014,10.8294930875576,17.5115207373272,434
"Q02",2.56781609195402,0.872980784422468,-0.166035045793378,-0.660393865701532,1.69483530753156,3.44079687637649,12.4137931034483,13.3333333333333,435
"Q03",2.31934731934732,0.827745244525806,0.0167820520747608,-0.656896887329582,1.49160207482151,3.14709256387313,17.016317016317,6.29370629370629,429
"Q04",1.95423340961098,1.16631296666919,0.737726447543433,-1.0458219883579,0.787920442941794,3.12054637628017,53.0892448512586,17.162471395881,437
"Q05",1.9375,0.83612255565452,0.497395071048535,-0.540304189413909,1.10137744434548,2.77362255565452,34.4907407407407,3.7037037037037,432
"Q06",2.82191780821918,0.920289464263578,-0.345052547603567,-0.742580347766188,1.9016283439556,3.74220727248276,9.1324200913242,25.7990867579909,438
"Q07",2.35091743119266,1.07992084961935,0.145849096115193,-1.2678871066467,1.27099658157331,3.43083828081201,28.4403669724771,18.348623853211,436
"Q08",2.55045871559633,1.00560487688089,-0.124375941832729,-1.06741490571828,1.54485383871544,3.55606359247722,18.8073394495413,19.2660550458716,436
"Q09",2.46788990825688,1.00178055127329,-0.117336651356658,-1.09174004637239,1.46610935698359,3.46967045953017,22.2477064220184,15.3669724770642,436
"Q10",2.63097949886105,0.863013038224194,-0.364297991185855,-0.504982517004252,1.76796646063685,3.49399253708524,12.3006833712984,13.2118451025057,439
"Q11",2.2883295194508,0.962210853207483,0.0779713224839198,-1.05491784312886,1.32611866624332,3.25054037265828,25.858123569794,10.0686498855835,437
"Q12",2.45308924485126,1.02075741971685,-0.00892216932200013,-1.13347589562693,1.43233182513441,3.47384666456811,22.1967963386728,17.3913043478261,437
"Q13",2.18937644341801,0.814326482153439,0.155274937374954,-0.624570319606633,1.37504996126457,3.00370292557145,20.7852193995381,4.6189376443418,433
"Q14",2.15137614678899,0.894438980798716,0.257851661550019,-0.816869178576921,1.25693716599028,3.04581512758771,26.8348623853211,6.65137614678899,436
"Q15",2.5720823798627,0.973242246443409,-0.195095239594573,-0.95423262719384,1.59884013341929,3.54532462630611,17.3913043478261,17.6201372997712,437
"Q16",2.56781609195402,0.870337380008461,-0.427656187343118,-0.570583292542766,1.69747871194556,3.43815347196248,15.1724137931034,10.3448275862069,435
"Q17",2.73455377574371,0.842136097308818,-0.619143724843632,-0.108482815517699,1.89241767843489,3.57668987305253,11.441647597254,14.187643020595,437
"Q18",2.62060889929742,1.02611286396379,-0.260479407578096,-1.06619349982059,1.59449603533363,3.64672176326122,19.2037470725995,21.5456674473068,427
"Q19",2.64678899082569,0.996090639585236,-0.226136791048749,-0.999954455939146,1.65069835124045,3.64287963041092,16.0550458715596,22.0183486238532,436
"Q20",2.53563218390805,0.895711365661234,-0.0683480163744497,-0.758663042645245,1.63992081824681,3.43134354956928,13.3333333333333,14.2528735632184,435
"Q21",2.20967741935484,1.05716444437233,0.324902672119298,-1.15010791407916,1.15251297498251,3.26684186372717,32.7188940092166,14.7465437788018,434
"Q22",2.13625866050808,1.02848407303926,0.426926459331218,-1.00955891147028,1.10777458746882,3.16474273354734,34.1801385681293,12.70207852194,433
"Q23",2.70438799076212,1.02758443693968,-0.370930025460865,-0.991983856532396,1.67680355382245,3.7319724277018,17.7829099307159,24.4803695150115,433
"Q24",2.88100686498856,0.867100457894703,-0.611592005512342,-0.153733032902406,2.01390640709386,3.74810732288326,9.1533180778032,23.1121281464531,437
"Q25",2.45871559633028,0.89988106587577,-0.216673821380647,-0.823505365535377,1.5588345304545,3.35859666220605,18.1192660550459,9.86238532110092,436
"Q26",2.23502304147465,0.888764419552924,0.154956621244332,-0.817743307853797,1.34625862192173,3.12378746102758,23.0414746543779,7.37327188940092,434
"Q27",2.40961098398169,0.887837846107043,-0.0502161478677564,-0.790720837843245,1.52177313787465,3.29744883008874,17.3913043478261,9.83981693363844,437
"Q28",2.74423963133641,0.997237059614093,-0.393435849305652,-0.887125232022926,1.74700257172231,3.7414766909505,15.2073732718894,24.8847926267281,434
