"item","n_poor","n_good","M_poor","SD_poor","M_good","SD_good","D_star","Cohens_d","Hedges_g"
"Q01",119,122,1.92436974789916,0.782863754901242,3.31147540983607,0.656587310328597,0.462368553978969,1.93002344824823,1.92199836796656
"Q02",121,121,1.81818181818182,0.741619848709566,3.19834710743802,0.627426419467438,0.460055096418733,2.01762052552607,2.00926595330192
"Q03",120,119,1.65833333333333,0.679790295560605,2.91596638655462,0.67119715879852,0.419211017740429,1.86954946419634,1.86171064785134
"Q04",120,122,1.11666666666667,0.488236981536688,2.86065573770492,1.15218494390736,0.581329690346084,1.97343602182734,1.96526440899653
"Q05",120,121,1.175,0.381560264301876,2.79338842975207,0.644429403579901,0.539462809917355,3.0657509936942,3.05300353310228
"Q06",121,122,2.02479338842975,0.851105260992585,3.55737704918033,0.54619919364489,0.510861220250192,2.15393424250515,2.14505200160448
"Q07",121,122,1.65289256198347,0.928356467111394,3.0655737704918,0.897542143562973,0.470893736169444,1.55367683353823,1.54726989146686
"Q08",121,121,1.64462809917355,0.783788918568337,3.52066115702479,0.533841011814676,0.62534435261708,2.80932848615382,2.79769560601507
"Q09",122,121,1.60655737704918,0.828793577557963,3.30578512396694,0.656289763323737,0.566409248972587,2.2814378738032,2.27202984249233
"Q10",122,122,1.94262295081967,0.845984001644921,3.23770491803279,0.575724892528054,0.431693989071038,1.79719595856841,1.78981524582949
"Q11",122,121,1.50819672131148,0.718652338840828,3.14876033057851,0.641107856562807,0.546854536422346,2.4185100185804,2.4085367389037
"Q12",121,122,1.82644628099174,0.853206559109157,3.18852459016393,0.865614645362681,0.4540261030574,1.59137181344225,1.58480942749257
"Q13",120,120,1.65,0.705917366078419,2.85833333333333,0.639009650422694,0.402777777777778,1.80218108033775,1.79465628304548
"Q14",120,121,1.325,0.487878273838909,2.99173553719008,0.638955759665657,0.555578512396694,2.94264899777515,2.93041339801113
"Q15",120,122,1.83333333333333,0.863190615806084,3.20491803278689,0.748977535442653,0.457194899817851,1.70534595555926,1.69828445129093
"Q16",120,122,1.71666666666667,0.81150688066519,3.23770491803279,0.498813115081456,0.507012750455374,2.27188604899108,2.262478612934
"Q17",120,122,1.95,0.887352781019586,3.36065573770492,0.531107898182903,0.470218579234973,1.94093226176217,1.93289524064848
"Q18",117,122,1.65811965811966,0.800456692515582,3.54098360655738,0.591224265368429,0.627621316145906,2.69545209157171,2.68415035587697
"Q19",120,122,1.69166666666667,0.817824880407784,3.54918032786885,0.590593748254735,0.619171220400729,2.61831651037329,2.60747457349029
"Q20",121,122,1.87603305785124,0.748000088389971,3.13934426229508,0.753126527520051,0.421103734814614,1.69008655689829,1.68311709810743
"Q21",120,121,1.275,0.564532974228784,3.32231404958678,0.744030420895296,0.682438016528926,3.11126406384098,3.09832735889447
"Q22",121,121,1.2396694214876,0.500413052528105,3.21487603305785,0.808358538131935,0.658402203856749,2.95039244931898,2.93817545088168
"Q23",120,121,1.69166666666667,0.797009466465646,3.61157024793388,0.596823547715267,0.639967860422406,2.73987325503402,2.72848080130335
"Q24",121,122,2.0495867768595,0.854899990928973,3.59016393442623,0.510292386785104,0.513525719188909,2.19952557214378,2.19045532495914
"Q25",121,122,1.61157024793388,0.734528202617688,3.14754098360656,0.663974149993945,0.511990245224224,2.20334790477617,2.19426189532797
"Q26",122,121,1.4344262295082,0.588985749845616,3.02479338842975,0.700747338172556,0.530122386307185,2.46804308345464,2.45786554284645
"Q27",122,121,1.55737704918033,0.603696332287738,3.25619834710744,0.5990120424476,0.566273765975703,2.83662326701722,2.82492580165133
"Q28",122,119,2.15573770491803,0.996029238869167,3.26050420168067,0.775276712480389,0.36825549892088,1.24108557020312,1.23592510889041
