"item","cor_corrected_pearson","cor_uncorrected_pearson","cor_corrected_polyserial","cor_uncorrected_polyserial"
"Q01",0.650206138816819,0.674190135530085,0.649869707322008,0.677397906071263
"Q02",0.645707690897921,0.670705342760356,0.645712711795727,0.673245227991298
"Q03",0.612942617691033,0.642811305377925,0.618993038395851,0.646263272982597
"Q04",0.567759148170336,0.610527618814173,0.558522749572248,0.602715358180446
"Q05",0.748308698651762,0.766240277493213,0.739053523620821,0.75935958582364
"Q06",0.656119569047588,0.68597091865687,0.650440271416088,0.679423671434501
"Q07",0.505220639544165,0.548663748136663,0.497192353177251,0.542646600306047
"Q08",0.739934682994397,0.764295716554365,0.739239648260387,0.766208525269413
"Q09",0.694383035274227,0.723329013032787,0.688106793405264,0.717918526623287
"Q10",0.603035390724944,0.633976760396471,0.603477362782557,0.634260980889845
"Q11",0.702822598025759,0.728315890787003,0.693730216460107,0.721697403346507
"Q12",0.489566055546595,0.53071059979952,0.495446924196207,0.538360174026131
"Q13",0.595506629548763,0.624398133427471,0.590423105884118,0.618554127079514
"Q14",0.701414971763456,0.726573798086819,0.699982340809994,0.725444272789854
"Q15",0.546737277484428,0.588990827823893,0.539839426000729,0.576353380767728
"Q16",0.720189841700912,0.742743946987408,0.712479407342697,0.73672505516585
"Q17",0.692447698986264,0.720262907574117,0.693174997432844,0.71664919026078
"Q18",0.729887603077697,0.754942051583181,0.727405935142216,0.756610608520655
"Q19",0.731839095488216,0.755703361684006,0.728949147523929,0.755247282389479
"Q20",0.521667763992549,0.555762814564947,0.523889668384919,0.559839381810129
"Q21",0.752179591815651,0.777919583458668,0.756017864644723,0.78143462615522
"Q22",0.75023553450048,0.773646709367775,0.746730594916831,0.774469238155494
"Q23",0.740935859593127,0.763578920250162,0.740930742655804,0.767106049535286
"Q24",0.738633050892272,0.760519994618717,0.739135531146638,0.761046927351224
"Q25",0.701063423221311,0.725694158833927,0.695885856591497,0.722104522367477
"Q26",0.715364035144159,0.737017018211527,0.712811364441873,0.737188253173368
"Q27",0.784185119855032,0.801747831819453,0.782364654147793,0.801540763560457
"Q28",0.452310251092519,0.498955574222555,0.454608904643306,0.497510037503253
