"item","cor_corrected_pearson","cor_uncorrected_pearson","cor_corrected_polyserial","cor_uncorrected_polyserial","subscale"
"Q04",0.542218428934591,0.674792190353803,0.526310716918151,0.662519929464272,"Self-management Skills"
"Q05",0.699456125185891,0.767117248108377,0.690074318892034,0.761379306550933,"Self-management Skills"
"Q06",0.620132843223192,0.711668498482627,0.613942615539575,0.705355884404346,"Self-management Skills"
"Q09",0.676443944561695,0.759440633944884,0.675834032124819,0.763177649157692,"Self-management Skills"
"Q12",0.446641183075201,0.575463626153354,0.448282191998999,0.580234377844623,"Self-management Skills"
"Q21",0.80145441176307,0.859235770391081,0.809241352494728,0.869510922906185,"Self-management Skills"
"Q22",0.797047459857957,0.854096700736572,0.799268598178105,0.860588818165182,"Self-management Skills"
"Q23",0.719948128133368,0.795861826957251,0.722009409786905,0.800255728350454,"Self-management Skills"
"Q08",0.677994615075997,0.79325976127051,0.663757604740816,0.785063624996945,"Ability to Stay Safe"
"Q18",0.75271295850277,0.843658897011441,0.750019125106988,0.847325775684846,"Ability to Stay Safe"
"Q19",0.717254682791669,0.818890309746856,0.702967850758995,0.811789284642782,"Ability to Stay Safe"
"Q20",0.523330474576581,0.663757182998835,0.526806581451155,0.667773148059676,"Ability to Stay Safe"
"Q24",0.70182623337536,0.796934970116125,0.698104197113403,0.795630344510966,"Ability to Stay Safe"
"Q28",0.422227676191497,0.6021047897333,0.425311120194858,0.603480083317686,"Ability to Stay Safe"
"Q07",0.543272189055186,0.730412385271232,0.533454147999541,0.725739217826501,"Ability to Express One's Inner Self"
"Q11",0.691571987806149,0.812173709434875,0.688613670837297,0.813767137825012,"Ability to Express One's Inner Self"
"Q14",0.699258066698553,0.809461320082857,0.704219559557731,0.8170024084897,"Ability to Express One's Inner Self"
"Q25",0.732869626758698,0.834517692826528,0.739309860681485,0.840881260759303,"Ability to Express One's Inner Self"
"Q26",0.723479288555984,0.825499176070795,0.731379805629898,0.833762705886397,"Ability to Express One's Inner Self"
"Q10",0.674059936420967,0.781286971501107,0.676879345100818,0.784268950192777,"Mental Stability"
"Q13",0.632491564458032,0.742357504836416,0.634323425185385,0.745387843378635,"Mental Stability"
"Q15",0.641783075103909,0.772997082849537,0.643315504744148,0.773824983859325,"Mental Stability"
"Q16",0.781211751990674,0.854627671417167,0.789496389247673,0.865971619447229,"Mental Stability"
"Q17",0.731506755505452,0.822050937998248,0.743409198882803,0.831545649543316,"Mental Stability"
"Q27",0.634014608369362,0.753287294651954,0.63682397029024,0.757311649582947,"Mental Stability"
"Q01",0.830976124293391,0.92748581220618,0.832648937524797,0.936668788286534,"Awareness of Illness and Treatment Needs"
"Q02",0.867205967270616,0.943357525744689,0.862732032633328,0.95182956579801,"Awareness of Illness and Treatment Needs"
"Q03",0.791770167733976,0.901381525246714,0.812578850191995,0.91834944487136,"Awareness of Illness and Treatment Needs"
